
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/strong_arm_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x1.di_p.n4                                 1.8
x1.di_p.n2                                 1.8
x1.di_p.n12                                1.8
x1.di_p.n11                                1.8
x1.di_p.n10                                1.8
x1.di_p.n9                                 1.8
x1.di_p.n8                                 1.8
x1.di_p.n7                                 1.8
x1.di_p.n6                                 1.8
x1.di_p.n5                                 1.8
x1.di_p.n3                                 1.8
x1.vdd.n55                                 1.8
x1.vdd.n50                                 1.8
x1.vdd.n32                                 1.8
x1.vdd.n29                                 1.8
x1.vdd.n74                                 1.8
x1.vdd.n59                                 1.8
x1.vdd.n53                                 1.8
x1.vdd.n31                                 1.8
x1.vdd.n23                                 1.8
x1.vdd.n8                                  1.8
x1.vdd.n68                                 1.8
x1.vdd.n67                                 1.8
x1.vdd.n11                                 1.8
x1.vdd.n10                                 1.8
x1.vdd.n43                                 1.8
x1.vdd.n45                                 1.8
x1.vdd.n44                                 1.8
x1.vdd.n42                                 1.8
x1.vdd.n41                                 1.8
x1.vdd.n38                                 1.8
x1.vdd.n37                                 1.8
x1.vdd.n47                                 1.8
x1.vdd.n46                                 1.8
x1.vdd.n40                                 1.8
x1.vdd.n39                                 1.8
x1.vdd.n49                                 1.8
x1.vdd.n48                                 1.8
x1.vdd.n36                                 1.8
x1.vdd.n17                                 1.8
x1.vdd.n6                                  1.8
x1.vdd.n76                                 1.8
x1.vdd.n75                                 1.8
x1.vdd.n14                                 1.8
x1.vdd.n9                                  1.8
x1.vdd.n13                                 1.8
x1.vdd.n2                                  1.8
x1.vdd.n0                                  1.8
x1.vdd.n104                                1.8
x1.vdd.n3                                  1.8
x1.vdd.n1                                  1.8
x1.vdd.n24                                 1.8
x1.vdd.n27                                 1.8
x1.vdd.n22                                 1.8
x1.vdd.n28                                 1.8
x1.vdd.n30                                 1.8
x1.vdd.n20                                 1.8
x1.vdd.n98                                 1.8
x1.vdd.n97                                 1.8
x1.vdd.n96                                 1.8
x1.vdd.n33                                 1.8
x1.vdd.n93                                 1.8
x1.vdd.n35                                 1.8
x1.vdd.n92                                 1.8
x1.vdd.n91                                 1.8
x1.vdd.n51                                 1.8
x1.vdd.n87                                 1.8
x1.vdd.n86                                 1.8
x1.vdd.n54                                 1.8
x1.vdd.n85                                 1.8
x1.vdd.n58                                 1.8
x1.vdd.n56                                 1.8
x1.vdd.n81                                 1.8
x1.vdd.n80                                 1.8
x1.vdd.n60                                 1.8
x1.vdd.n79                                 1.8
x1.vdd.n66                                 1.8
x1.vdd.n61                                 1.8
x1.vdd.n69                                 1.8
x1.vdd.n73                                 1.8
x1.vdd.n72                                 1.8
x1.vdd.n16                                 1.8
x1.vdd.n15                                 1.8
x1.vdd.n7                                  1.8
x1.vdd.n12                                 1.8
x1.vdd.n4                                  1.8
x1.vdd.n103                                1.8
x1.vdd.n5                                  1.8
x1.vdd.n25                                 1.8
x1.vdd.n26                                 1.8
x1.vdd.n19                                 1.8
x1.vdd.n100                                1.8
x1.vdd.n99                                 1.8
x1.vdd.n21                                 1.8
x1.vdd.n95                                 1.8
x1.vdd.n94                                 1.8
x1.vdd.n34                                 1.8
x1.vdd.n90                                 1.8
x1.vdd.n89                                 1.8
x1.vdd.n88                                 1.8
x1.vdd.n52                                 1.8
x1.vdd.n84                                 1.8
x1.vdd.n83                                 1.8
x1.vdd.n82                                 1.8
x1.vdd.n57                                 1.8
x1.vdd.n78                                 1.8
x1.vdd.n62                                 1.8
x1.vdd.n70                                 1.8
x1.vdd.n71                                 1.8
x1.vdd.n65                                 1.8
x1.vdd.n64                                 1.8
x1.vdd.n77                                 1.8
x1.vdd.n102                                1.8
x1.vdd.n101                                1.8
x1.vdd.n18                                 1.8
x1.vdd.n63                                 1.8
x1.vin_p.n8                           0.963176
x1.vin_p.n6                           0.963176
x1.vin_p.n5                           0.963176
x1.vin_p.n3                           0.963176
x1.vin_p.n1                           0.963176
x1.vin_p.n0                           0.963176
x1.vin_p.n7                           0.963176
x1.vin_p.n2                           0.963176
x1.vin_p.n9                           0.963176
x1.vin_p.n4                           0.963176
di_n                                       1.8
x1.di_n.n15                                1.8
x1.di_n.n14                                1.8
x1.di_n.n0                                 1.8
x1.di_n.n12                                1.8
x1.di_n.n13                                1.8
x1.di_n.n3                                 1.8
x1.di_n.n1                                 1.8
x1.di_n.n11                                1.8
x1.di_n.n10                                1.8
x1.di_n.n9                                 1.8
x1.di_n.n8                                 1.8
x1.di_n.n7                                 1.8
x1.di_n.n6                                 1.8
x1.di_n.n5                                 1.8
x1.di_n.n4                                 1.8
x1.di_n.n2                                 1.8
x1.a_88_1445.n24                      0.704365
x1.a_88_1445.n2                       0.704365
x1.a_88_1445.n28                      0.704365
x1.a_88_1445.n6                       0.704365
x1.a_88_1445.n27                      0.704365
x1.a_88_1445.n30                      0.704365
x1.a_88_1445.n29                      0.704365
x1.a_88_1445.n26                      0.704365
x1.a_88_1445.n25                      0.704365
x1.a_88_1445.n23                      0.704365
x1.a_88_1445.n5                       0.704365
x1.a_88_1445.n8                       0.704365
x1.a_88_1445.n7                       0.704365
x1.a_88_1445.n4                       0.704365
x1.a_88_1445.n3                       0.704365
x1.a_88_1445.n1                       0.704365
x1.a_88_1445.n22                      0.704365
x1.a_88_1445.n21                      0.704365
x1.a_88_1445.n20                      0.704365
x1.a_88_1445.n19                      0.704365
x1.a_88_1445.n18                      0.704365
x1.a_88_1445.n17                      0.704365
x1.a_88_1445.n16                      0.704365
x1.a_88_1445.n15                      0.704365
x1.a_88_1445.n14                      0.704365
x1.a_88_1445.n13                      0.704365
x1.a_88_1445.n12                      0.704365
x1.a_88_1445.n11                      0.704365
x1.a_88_1445.n10                      0.704365
x1.a_88_1445.n0                       0.704365
x1.a_88_1445.n33                      0.704365
x1.a_88_1445.n32                      0.704365
x1.a_88_1445.n9                       0.704365
x1.a_88_1445.n31                      0.704365
x1.vss.n34                          8.7585e-09
x1.vss.n33                         2.72225e-10
x1.vss.n35                         1.88332e-08
x1.vss.n26                         8.31067e-09
x1.vss.n25                         2.68963e-10
x1.vss.n31                         1.57867e-08
x1.vss.n84                         2.66001e-10
x1.vss.n83                         8.02233e-09
x1.vss.n82                         1.47559e-08
x1.vss.n38                          2.7215e-10
x1.vss.n37                         8.75586e-09
x1.vss.n36                         1.88288e-08
x1.vss.n28                         2.68885e-10
x1.vss.n27                         8.30779e-09
x1.vss.n30                         1.57813e-08
x1.vss.n80                         8.01914e-09
x1.vss.n79                         2.65921e-10
x1.vss.n81                         1.47485e-08
x1.vss.n47                         1.21496e-11
x1.vss.n15                         1.21439e-11
x1.vss.n11                          8.1399e-12
x1.vss.n10                         1.32374e-11
x1.vss.n8                          4.27119e-12
x1.vss.n7                          9.36867e-12
x1.vss.n1                          5.09748e-12
x1.vss.n55                         4.27346e-12
x1.vss.n54                         9.37094e-12
x1.vss.n52                         8.14411e-12
x1.vss.n51                         1.32416e-11
x1.vss.n32                         1.40139e-10
x1.vss.n24                         1.40853e-10
x1.vss.n85                         1.40118e-10
x1.vss.n77                          1.4082e-10
x1.vss.n76                         1.40106e-10
x1.vss.n78                         1.40085e-10
x1.vss.n29                         2.89494e-11
x1.vss.n86                         2.89428e-11
x1.vss.n22                         2.64389e-11
x1.vss.n75                          2.6445e-11
x1.vss.n88                         3.52788e-12
x1.vss.n87                          1.1888e-11
x1.vss.n91                         1.13901e-11
x1.vss.n23                          2.7339e-11
x1.vss.n41                          1.1405e-11
x1.vss.n39                         2.73455e-11
x1.vss.n74                         1.09836e-11
x1.vss.n42                          1.0431e-11
x1.vss.n40                         2.30691e-11
x1.vss.n70                         9.78771e-12
x1.vss.n45                          1.8292e-11
x1.vss.n69                         9.11534e-12
x1.vss.n46                         1.43611e-11
x1.vss.n68                         8.46104e-12
x1.vss.n50                         1.00971e-11
x1.vss.n48                          7.8444e-12
x1.vss.n64                         7.28419e-12
x1.vss.n63                         6.80005e-12
x1.vss.n53                         6.22155e-12
x1.vss.n62                          6.4142e-12
x1.vss.n3                          6.15312e-12
x1.vss.n0                          2.22344e-12
x1.vss.n107                        6.05099e-12
x1.vss.n4                          6.15077e-12
x1.vss.n2                          2.22227e-12
x1.vss.n104                        6.40986e-12
x1.vss.n103                        6.79446e-12
x1.vss.n9                          6.21826e-12
x1.vss.n102                        7.27725e-12
x1.vss.n14                         1.00921e-11
x1.vss.n12                         7.83605e-12
x1.vss.n98                         8.45128e-12
x1.vss.n97                         9.10418e-12
x1.vss.n16                         1.43549e-11
x1.vss.n96                         9.77523e-12
x1.vss.n17                         1.82855e-11
x1.vss.n21                         2.30626e-11
x1.vss.n18                         1.04175e-11
x1.vss.n92                         1.09693e-11
x1.vss.n20                         3.46153e-12
x1.vss.n90                          1.1677e-11
x1.vss.n89                          3.5206e-12
x1.vss.n43                          3.4876e-12
x1.vss.n73                         3.38193e-12
x1.vss.n72                         3.22802e-12
x1.vss.n71                         3.02838e-12
x1.vss.n44                         2.78583e-12
x1.vss.n67                         2.51602e-12
x1.vss.n66                         2.20848e-12
x1.vss.n65                         1.86516e-12
x1.vss.n49                         1.48744e-12
x1.vss.n61                           1.076e-12
x1.vss.n5                          5.55765e-13
x1.vss.n106                        5.30392e-13
x1.vss.n105                        1.02511e-12
x1.vss.n6                          1.48564e-12
x1.vss.n101                        1.85882e-12
x1.vss.n100                         2.1976e-12
x1.vss.n99                          2.5006e-12
x1.vss.n13                         2.76581e-12
x1.vss.n95                         2.99079e-12
x1.vss.n94                         3.19439e-12
x1.vss.n93                         3.35214e-12
x1.vss.n56                         1.17648e-11
x1.vss.n57                           3.543e-12
x1.vss.n58                         2.55864e-12
x1.vss.n19                         2.60963e-12
x1.vss.n60                         2.39239e-12
x1.vss.n59                         2.42853e-12
x1.vin_n.n8                           0.913176
x1.vin_n.n6                           0.913176
x1.vin_n.n5                           0.913176
x1.vin_n.n3                           0.913176
x1.vin_n.n1                           0.913176
x1.vin_n.n0                           0.913176
x1.vin_n.n7                           0.913176
x1.vin_n.n2                           0.913176
x1.vin_n.n9                           0.913176
x1.vin_n.n4                           0.913176
x1.vout_p.n4                               1.8
x1.vout_p.n3                               1.8
vout_p                                     1.8
x1.vout_p.n2                               1.8
x1.vout_p.n6                               1.8
x1.vout_p.n5                               1.8
x1.vout_p.n0                               1.8
x1.vout_p.n1                               1.8
x1.vout_p.n7                               1.8
x1.vout_n.n6                               1.8
x1.vout_n.n0                               1.8
vout_n                                     1.8
x1.vout_n.n7                               1.8
x1.vout_n.n1                               1.8
x1.vout_n.n2                               1.8
x1.vout_n.n3                               1.8
x1.vout_n.n4                               1.8
x1.vout_n.n5                               1.8
net5                                       1.8
net3                                         0
net4                                  0.913176
x3.vdd.t25                                 1.8
x3.clk.t0                                    0
x3.di_p.t10                                1.8
x3.vdd.t24                                 1.8
x3.a_88_1445.t32                      0.662202
x3.vin_p.t0                           0.853176
x3.di_n.t10                                1.8
x3.vss.t39                         2.70722e-08
x3.di_n.t4                                 1.8
x3.clk.t1                                    0
x3.vdd.t23                                 1.8
x3.vdd.t22                                 1.8
x3.di_n.t6                                 1.8
x3.vin_p.t1                           0.853176
x3.a_88_1445.t31                      0.662202
x3.vss.t38                         1.54596e-08
x3.a_88_1445.t20                      0.662202
x3.vin_n.t0                           0.913176
x3.di_p.t14                                1.8
x3.vss.t31                         3.22424e-08
x3.a_88_1445.t11                      0.662202
x3.clk.t2                                    0
x3.vss.t30                         1.37295e-11
x3.vss.t6                          4.44823e-08
x3.di_p.t6                                 1.8
x3.vin_n.t1                           0.913176
x3.a_88_1445.t5                       0.662202
x3.di_n.t3                                 1.8
x3.clk.t3                                    0
x3.vdd.t21                                 1.8
x3.vdd.t20                                 1.8
x3.di_n.t5                                 1.8
x3.vin_p.t2                           0.853176
x3.a_88_1445.t30                      0.662202
x3.vss.t37                          1.5114e-08
x3.a_88_1445.t34                      0.662202
x3.vin_n.t2                           0.913176
x3.di_p.t16                                1.8
x3.vss.t40                         2.15596e-08
x3.di_p.t11                                1.8
x3.clk.t4                                    0
x3.vdd.t19                                 1.8
x3.vdd.t18                                 1.8
x3.a_88_1445.t29                      0.662202
x3.vin_p.t3                           0.853176
x3.di_n.t14                                1.8
x3.vss.t12                         4.44598e-08
x3.vdd.t27                                 1.8
x3.vout_p.t6                               1.8
x3.vout_n.t5                               1.8
x3.vdd.t26                                 1.8
x3.di_p.t12                                1.8
x3.clk.t5                                    0
x3.vdd.t17                                 1.8
x3.vdd.t16                                 1.8
x3.di_n.t0                                 1.8
x3.vout_p.t7                               1.8
x3.vout_n.t3                               1.8
x3.vss.t9                            4.896e-08
x3.di_n.t13                                1.8
x3.vin_p.t4                           0.853176
x3.a_88_1445.t28                      0.662202
x3.vss.t36                          2.1523e-08
x3.a_88_1445.t27                      0.662202
x3.vin_p.t5                           0.853176
x3.di_n.t12                                1.8
x3.a_88_1445.t35                      0.662202
x3.vin_n.t3                           0.913176
x3.di_p.t17                                1.8
x3.vss.t41                         1.51147e-08
x3.vout_n.t1                               1.8
x3.clk.t6                                    0
x3.vdd.t15                                 1.8
x3.vdd.t14                                 1.8
x3.vout_p.t3                               1.8
x3.clk.t7                                    0
x3.vdd.t13                                 1.8
x3.vdd.t12                                 1.8
x3.vdd.t31                                 1.8
x3.vout_n.t6                               1.8
x3.vout_p.t5                               1.8
x3.vdd.t30                                 1.8
x3.di_p.t3                                 1.8
x3.vout_n.t7                               1.8
x3.vout_p.t0                               1.8
x3.vss.t3                          4.73862e-08
x3.di_n.t11                                1.8
x3.vin_p.t6                           0.853176
x3.a_88_1445.t26                      0.662202
x3.vss.t35                         3.22115e-08
x3.a_88_1445.t14                      0.662202
x3.clk.t8                                    0
x3.vss.t29                         5.73574e-12
x3.vss.t28                          4.9356e-08
x3.a_88_1445.t18                      0.662202
x3.clk.t9                                    0
x3.vss.t27                         9.93004e-12
x3.vss.t5                          4.89671e-08
x3.di_n.t8                                 1.8
x3.vin_p.t7                           0.853176
x3.a_88_1445.t25                      0.662202
x3.vss.t21                         4.09632e-08
x3.di_p.t8                                 1.8
x3.vin_n.t4                           0.913176
x3.a_88_1445.t6                       0.662202
x3.vss.t8                          2.71059e-08
x3.vdd.t11                                 1.8
x3.clk.t10                                   0
x3.di_p.t13                                1.8
x3.vdd.t10                                 1.8
x3.vout_n.t2                               1.8
x3.vout_p.t8                               1.8
x3.di_n.t17                                1.8
x3.vss.t19                         4.73867e-08
x3.di_p.t9                                 1.8
x3.vin_n.t5                           0.913176
x3.a_88_1445.t7                       0.662202
x3.vss.t10                         1.71089e-08
x3.vout_n.t4                               1.8
x3.vout_p.t9                               1.8
x3.vdd.t1                                  1.8
x3.vdd.t0                                  1.8
x3.di_n.t7                                 1.8
x3.vin_p.t8                           0.853176
x3.a_88_1445.t24                      0.662202
x3.vout_p.t1                               1.8
x3.vout_n.t8                               1.8
x3.di_p.t7                                 1.8
x3.vss.t7                           4.8961e-08
x3.vout_p.t4                               1.8
x3.vout_n.t9                               1.8
x3.vdd.t29                                 1.8
x3.vdd.t28                                 1.8
x3.di_p.t0                                 1.8
x3.vin_n.t6                           0.913176
x3.a_88_1445.t0                       0.662202
x3.vss.t0                          3.68272e-08
x3.di_p.t1                                 1.8
x3.vin_n.t7                           0.913176
x3.a_88_1445.t1                       0.662202
x3.vss.t1                          1.49647e-08
x3.vss.t26                         5.75239e-12
x3.clk.t11                                   0
x3.a_88_1445.t17                      0.662202
x3.vss.t25                         4.93546e-08
x3.vss.t24                         9.94668e-12
x3.clk.t12                                   0
x3.a_88_1445.t8                       0.662202
x3.vss.t23                          4.9228e-08
x3.a_88_1445.t9                       0.662202
x3.clk.t13                                   0
x3.vss.t22                         1.52628e-11
x3.a_88_1445.t19                      0.662202
x3.clk.t14                                   0
x3.vss.t20                         1.37253e-11
x3.vss.t18                         1.37461e-11
x3.clk.t15                                   0
x3.a_88_1445.t15                      0.662202
x3.vss.t17                         4.74014e-08
x3.vss.t16                          1.5285e-11
x3.clk.t16                                   0
x3.a_88_1445.t10                      0.662202
x3.vss.t4                          4.09885e-08
x3.a_88_1445.t33                      0.662202
x3.vin_n.t8                           0.913176
x3.di_p.t15                                1.8
x3.a_88_1445.t13                      0.662202
x3.clk.t17                                   0
x3.vss.t15                          9.9278e-12
x3.vss.t14                         4.92238e-08
