
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/double_tail_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x1.a_88_n1613.n15                     0.692694
x1.a_88_n1613.n14                     0.692694
x1.a_88_n1613.n13                     0.692694
x1.a_88_n1613.n0                      0.692694
x1.a_88_n1613.n12                     0.692694
x1.a_88_n1613.n11                     0.692694
x1.a_88_n1613.n3                      0.692694
x1.a_88_n1613.n2                      0.692694
x1.a_88_n1613.n8                      0.692694
x1.a_88_n1613.n9                      0.692694
x1.a_88_n1613.n7                      0.692694
x1.a_88_n1613.n5                      0.692694
x1.a_88_n1613.n4                      0.692694
x1.a_88_n1613.n10                     0.692694
x1.a_88_n1613.n6                      0.692694
x1.a_88_n1613.n18                     0.692694
x1.a_88_n1613.n17                     0.692694
x1.vss.n66                         8.88447e-05
x1.vss.n17                         8.88445e-05
x1.vss.n65                         8.88431e-05
x1.vss.n49                         8.88428e-05
x1.vss.n60                         8.88358e-05
x1.vss.n59                         8.88384e-05
x1.vss.n42                         8.88355e-05
x1.vss.n41                         8.88381e-05
x1.vss.n57                         8.88388e-05
x1.vss.n56                         8.88358e-05
x1.vss.n58                         8.88403e-05
x1.vss.n16                         8.88391e-05
x1.vss.n15                         8.88359e-05
x1.vss.n64                          8.8842e-05
x1.vss.n69                         8.88359e-05
x1.vss.n68                         8.88397e-05
x1.vss.n67                         8.88453e-05
x1.vss.n47                         8.88382e-05
x1.vss.n46                         8.88355e-05
x1.vss.n48                         8.88417e-05
x1.vss.n20                         8.88355e-05
x1.vss.n19                         8.88379e-05
x1.vss.n63                         8.88385e-05
x1.vss.n62                         8.88358e-05
x1.vss.n61                         8.88358e-05
x1.vss.n50                         8.88382e-05
x1.vss.n26                         8.88355e-05
x1.vss.n25                         8.88394e-05
x1.vss.n24                         8.88451e-05
x1.vss.n23                         8.88355e-05
x1.vss.n18                         8.88389e-05
x1.vss.n39                         8.88385e-05
x1.vss.n38                         8.88355e-05
x1.vss.n40                           8.884e-05
x1.vss.n76                         5.21619e-05
x1.vss.n11                         1.66727e-05
x1.vss.n0                          1.66727e-05
x1.vss.n30                         6.57355e-05
x1.vss.n33                         8.88354e-05
x1.vss.n72                         8.88357e-05
x1.vss.n75                         6.57354e-05
x1.vss.n9                          1.15839e-07
x1.vss.n2                          1.15839e-07
x1.vss.n29                         5.21621e-05
x1.vss.n74                         7.93089e-05
x1.vss.n73                           0.0117645
x1.vss.n77                         3.38132e-05
x1.vss.n12                         3.38132e-05
x1.vss.n10                         4.01609e-12
x1.vss.n8                          4.01609e-12
x1.vss.n1                          4.01609e-12
x1.vss.n28                         3.38133e-05
x1.vss.n27                         3.38133e-05
x1.vss.n32                         7.93089e-05
x1.vss.n31                           0.0117645
x1.vss.n51                         8.88358e-05
x1.vss.n52                         8.88358e-05
x1.vss.n53                         8.88358e-05
x1.vss.n44                         8.88355e-05
x1.vss.n45                         8.88355e-05
x1.vss.n43                         8.88355e-05
x1.vss.n14                         8.88358e-05
x1.vss.n55                         8.88358e-05
x1.vss.n70                         8.88358e-05
x1.vss.n36                         8.88355e-05
x1.vss.n35                         8.88355e-05
x1.vss.n37                         8.88355e-05
x1.vss.n54                         8.88358e-05
x1.vss.n22                         8.88354e-05
x1.vss.n13                         8.88358e-05
x1.vss.n21                         8.88354e-05
x1.vss.n71                         8.88358e-05
